good,prop_data,run,n_checklists,n_sightings,mse,auc,threshold,kappa,sensitivity,specificity,n_checklists_log,n_sightings_log
FALSE,0.2,3,12138,541,0.10676,0.68611,0.02,0.14619,0.49576,0.74554,4.084147133154448,2.7331972651065692
TRUE,0.30000000000000004,3,2833,303,0.11004,0.76473,0.05,0.29342,0.32627,0.94057,3.452246574520437,2.481442628502305
FALSE,0.30000000000000004,3,18208,804,0.10282,0.69323,0.1,0.17859,0.3178,0.88061,4.260262244714977,2.905256048748451
TRUE,0.4,3,3778,409,0.10582,0.77765,0.13,0.29682,0.31356,0.9476,3.577261953585815,2.611723308007342
FALSE,0.4,3,24277,1108,0.09951,0.71755,0.07,0.193,0.40678,0.84117,4.38519501831988,3.044539760392411
TRUE,0.5,3,4722,522,0.10433,0.78787,0.1,0.33417,0.36017,0.94435,3.674125982742708,2.717670503002262
FALSE,0.5,3,30346,1392,0.09949,0.73164,0.04,0.20038,0.51695,0.78714,4.482101453486599,3.1436392352745433
TRUE,0.6,3,5666,612,0.10339,0.78361,0.02,0.31167,0.41525,0.9114,3.7532765701844184,2.7867514221455614
FALSE,0.6,3,36415,1668,0.09887,0.73464,0.12,0.21384,0.35169,0.88547,4.561280314290289,3.22219604630172
TRUE,0.7000000000000001,3,6611,693,0.10679,0.78612,0.03,0.31569,0.39407,0.9222,3.8202671571609645,2.8407332346118066
FALSE,0.7000000000000001,3,42484,1953,0.09884,0.72917,0.07,0.21394,0.43644,0.84117,4.6282254001672145,3.2907022432878543
TRUE,0.8,3,7555,823,0.10745,0.78786,0.01,0.31461,0.41102,0.91464,3.878234468675044,2.91539983521227
FALSE,0.8,3,48554,2253,0.09798,0.73371,0.07,0.20078,0.42373,0.83793,4.6862250139838615,3.3527611917238307
TRUE,0.9,3,8500,922,0.1044,0.79501,0.02,0.32422,0.44915,0.90384,3.929418925714293,2.9647309210536292
FALSE,0.9,3,54623,2511,0.09812,0.73926,0.07,0.22642,0.46186,0.83739,4.737375548745249,3.3998467127129226
TRUE,1,3,9444,1028,0.10146,0.79824,0.06,0.35506,0.41525,0.93193,3.9751559784066894,3.011993114659257
FALSE,1,3,60692,2807,0.09796,0.73714,0.06,0.22567,0.47881,0.8282,4.78313144915058,3.448242412634439
TRUE,0.1,4,944,112,0.12147,0.73813,0.01,0.20492,0.27119,0.92274,2.974971994298069,2.0492180226701815
FALSE,0.1,4,6069,306,0.10635,0.6874,0.12,0.14402,0.29661,0.86818,3.7831171374904673,2.48572142648158
TRUE,0.2,4,1889,204,0.10802,0.74637,0.08,0.25728,0.24576,0.9611,3.2762319579218335,2.3096301674258988
FALSE,0.2,4,12138,528,0.10612,0.6962,0.03,0.18041,0.47458,0.79254,4.084147133154448,2.722633922533812
TRUE,0.30000000000000004,4,2833,313,0.11007,0.76833,0.02,0.26113,0.2839,0.94489,3.452246574520437,2.4955443375464483
FALSE,0.30000000000000004,4,18208,831,0.09999,0.7283,0.07,0.23269,0.4322,0.85683,4.260262244714977,2.919601023784111
TRUE,0.4,4,3778,387,0.10795,0.76322,0.01,0.29023,0.40678,0.90384,3.577261953585815,2.5877109650189114
FALSE,0.4,4,24277,1171,0.10088,0.71795,0.06,0.19359,0.45763,0.81361000000000006,4.38519501831988,3.068556895072363
TRUE,0.5,4,4722,525,0.10958,0.77636,0.01,0.3196,0.44068,0.90492,3.674125982742708,2.720159303405957
FALSE,0.5,4,30346,1360,0.09875,0.7371,0.18,0.20833,0.2839,0.91788,4.482101453486599,3.1335389083702174
TRUE,0.6,4,5666,609,0.10774,0.79025,0.04,0.29556,0.33475,0.93787,3.7532765701844184,2.784617292632875
FALSE,0.6,4,36415,1709,0.09987,0.71816,0.05,0.20072,0.47458,0.81037,4.561280314290289,3.232742062720737
TRUE,0.7000000000000001,4,6611,726,0.10346,0.78548,0.115,0.32766,0.33051,0.95354,3.8202671571609645,2.8609366207000937
FALSE,0.7000000000000001,4,42484,1991,0.09877,0.7287,0.07,0.21459,0.4322,0.84387,4.6282254001672145,3.2990712600274095
