family,pct_prob_pred,mse,rank_cor,dev_exp
Zero-inflated Poisson,0.0640346653827636,0.46111974488148805,0.2941182059067669,0.15965131870978475
Negative Binomial,0.02888781896966779,0.43715430176095627,0.30569068454049636,0.25350456163517776
Tweedie,0.030813673567645642,0.4362990585673218,0.3048961995092901,0.23155539694240307
