run_id,run_name,maxnet,complete,spatial_subsample,effort_filter,effort_covs,mse,auc,threshold,kappa,sensitivity,specificity
1,maxent,TRUE,FALSE,FALSE,FALSE,FALSE,0.27642,0.52069,0.39,0.03561,0.89831,0.22961
2,bad_practice,FALSE,FALSE,FALSE,FALSE,FALSE,0.09807,0.7355,0.06,0.22357,0.47881,0.82658
3,complete,FALSE,TRUE,FALSE,FALSE,FALSE,0.09693,0.73288,0.09,0.22144,0.47034,0.82928
4,sss,FALSE,TRUE,TRUE,FALSE,FALSE,0.10084,0.73369,0.11,0.20272,0.57203,0.75959
5,effort,FALSE,TRUE,TRUE,TRUE,FALSE,0.10332,0.71661,0.49,0.18712,0.17373,0.96704
6,best_practice,FALSE,TRUE,TRUE,TRUE,TRUE,0.10302,0.80157,0.03,0.33923,0.44915,0.9114
